[2026-09-01 17:32:35.897624] MEMORY_SPIKE | proc=svchost.exe pid=7900 exe=C:\Windows\System32\svchost.exe | mem=36MB is z=3.1 above its own baseline (avg 12MB)
[2026-09-01 17:32:35.897624] MEMORY_SPIKE | proc=svchost.exe pid=8060 exe=C:\Windows\System32\svchost.exe | mem=35MB is z=3.0 above its own baseline (avg 12MB)
[2026-09-01 17:32:35.897624] MEMORY_SPIKE | proc=chrome.exe pid=16476 exe=C:\Program Files\Google\Chrome\Application\chrome.exe | mem=760MB is z=3.2 above its own baseline (avg 132MB)
[2026-09-01 17:32:35.897624] CPU_SPIKE | proc=chrome.exe pid=19024 exe=C:\Program Files\Google\Chrome\Application\chrome.exe | cpu=13.0% is z=4.6 above its own baseline (avg 0.6%)
[2026-09-01 17:32:35.897624] HIGH_CONNECTION_COUNT | proc=chrome.exe pid=19220 exe=C:\Program Files\Google\Chrome\Application\chrome.exe | 53 simultaneous network connections
[2026-09-01 17:32:35.897624] MEMORY_SPIKE | proc=chrome.exe pid=26144 exe=C:\Program Files\Google\Chrome\Application\chrome.exe | mem=1477MB is z=6.9 above its own baseline (avg 132MB)
[2026-09-01 17:32:52.192852] HIGH_CONNECTION_COUNT | proc=System Idle Process pid=0 exe= | 195 simultaneous network connections
[2026-09-01 17:32:52.192852] MEMORY_SPIKE | proc=chrome.exe pid=4652 exe=C:\Program Files\Google\Chrome\Application\chrome.exe | mem=918MB is z=4.0 above its own baseline (avg 131MB)
[2026-09-01 17:32:52.192852] MEMORY_SPIKE | proc=svchost.exe pid=5408 exe=C:\Windows\System32\svchost.exe | mem=37MB is z=3.2 above its own baseline (avg 12MB)
[2026-09-01 17:32:52.192852] MEMORY_SPIKE | proc=svchost.exe pid=5416 exe=C:\Windows\System32\svchost.exe | mem=39MB is z=3.4 above its own baseline (avg 12MB)
[2026-09-01 17:32:52.192852] MEMORY_SPIKE | proc=svchost.exe pid=7900 exe=C:\Windows\System32\svchost.exe | mem=36MB is z=3.1 above its own baseline (avg 12MB)
[2026-09-01 17:32:52.192852] MEMORY_SPIKE | proc=svchost.exe pid=8060 exe=C:\Windows\System32\svchost.exe | mem=35MB is z=3.0 above its own baseline (avg 12MB)
[2026-09-01 17:32:52.192852] MEMORY_SPIKE | proc=chrome.exe pid=16476 exe=C:\Program Files\Google\Chrome\Application\chrome.exe | mem=761MB is z=3.2 above its own baseline (avg 131MB)
[2026-09-01 17:32:52.192852] HIGH_CONNECTION_COUNT | proc=chrome.exe pid=19220 exe=C:\Program Files\Google\Chrome\Application\chrome.exe | 62 simultaneous network connections
[2026-09-01 17:32:52.192852] MEMORY_SPIKE | proc=chrome.exe pid=26144 exe=C:\Program Files\Google\Chrome\Application\chrome.exe | mem=1470MB is z=6.9 above its own baseline (avg 131MB)
[2026-09-01 17:33:06.883168] HIGH_CONNECTION_COUNT | proc=System Idle Process pid=0 exe= | 192 simultaneous network connections
[2026-09-01 17:33:06.883168] MEMORY_SPIKE | proc=chrome.exe pid=4652 exe=C:\Program Files\Google\Chrome\Application\chrome.exe | mem=919MB is z=4.1 above its own baseline (avg 131MB)
[2026-09-01 17:33:06.883168] MEMORY_SPIKE | proc=svchost.exe pid=5408 exe=C:\Windows\System32\svchost.exe | mem=37MB is z=3.3 above its own baseline (avg 12MB)
[2026-09-01 17:33:06.883168] MEMORY_SPIKE | proc=svchost.exe pid=5416 exe=C:\Windows\System32\svchost.exe | mem=39MB is z=3.4 above its own baseline (avg 12MB)
[2026-09-01 17:33:06.883168] MEMORY_SPIKE | proc=svchost.exe pid=7900 exe=C:\Windows\System32\svchost.exe | mem=36MB is z=3.1 above its own baseline (avg 12MB)
[2026-09-01 17:33:06.883168] MEMORY_SPIKE | proc=svchost.exe pid=8060 exe=C:\Windows\System32\svchost.exe | mem=35MB is z=3.0 above its own baseline (avg 12MB)
[2026-09-01 17:33:06.883168] MEMORY_SPIKE | proc=chrome.exe pid=16476 exe=C:\Program Files\Google\Chrome\Application\chrome.exe | mem=762MB is z=3.2 above its own baseline (avg 131MB)
[2026-09-01 17:33:06.883168] HIGH_CONNECTION_COUNT | proc=chrome.exe pid=19220 exe=C:\Program Files\Google\Chrome\Application\chrome.exe | 60 simultaneous network connections
[2026-09-01 17:33:06.883168] MEMORY_SPIKE | proc=chrome.exe pid=26144 exe=C:\Program Files\Google\Chrome\Application\chrome.exe | mem=1469MB is z=6.9 above its own baseline (avg 131MB)
[2026-09-01 17:33:21.117946] HIGH_CONNECTION_COUNT | proc=System Idle Process pid=0 exe= | 133 simultaneous network connections
[2026-09-01 17:33:21.117946] CPU_SPIKE | proc=chrome.exe pid=4652 exe=C:\Program Files\Google\Chrome\Application\chrome.exe | cpu=23.0% is z=10.2 above its own baseline (avg 0.4%)
[2026-09-01 17:33:21.117946] MEMORY_SPIKE | proc=chrome.exe pid=4652 exe=C:\Program Files\Google\Chrome\Application\chrome.exe | mem=842MB is z=3.7 above its own baseline (avg 131MB)
[2026-09-01 17:33:21.117946] MEMORY_SPIKE | proc=svchost.exe pid=5408 exe=C:\Windows\System32\svchost.exe | mem=37MB is z=3.3 above its own baseline (avg 12MB)
[2026-09-01 17:33:21.117946] MEMORY_SPIKE | proc=svchost.exe pid=5416 exe=C:\Windows\System32\svchost.exe | mem=39MB is z=3.4 above its own baseline (avg 12MB)
[2026-09-01 17:33:21.117946] MEMORY_SPIKE | proc=svchost.exe pid=7900 exe=C:\Windows\System32\svchost.exe | mem=36MB is z=3.1 above its own baseline (avg 12MB)
[2026-09-01 17:33:21.117946] MEMORY_SPIKE | proc=svchost.exe pid=8060 exe=C:\Windows\System32\svchost.exe | mem=35MB is z=3.0 above its own baseline (avg 12MB)
[2026-09-01 17:33:21.117946] MEMORY_SPIKE | proc=chrome.exe pid=16476 exe=C:\Program Files\Google\Chrome\Application\chrome.exe | mem=763MB is z=3.3 above its own baseline (avg 131MB)
[2026-09-01 17:33:21.117946] HIGH_CONNECTION_COUNT | proc=chrome.exe pid=19220 exe=C:\Program Files\Google\Chrome\Application\chrome.exe | 45 simultaneous network connections
[2026-09-01 17:33:21.117946] MEMORY_SPIKE | proc=chrome.exe pid=26144 exe=C:\Program Files\Google\Chrome\Application\chrome.exe | mem=1469MB is z=6.9 above its own baseline (avg 131MB)
[2026-09-01 17:33:36.243887] HIGH_CONNECTION_COUNT | proc=System Idle Process pid=0 exe= | 115 simultaneous network connections
[2026-09-01 17:33:36.243887] CPU_SPIKE | proc=chrome.exe pid=4528 exe=C:\Program Files\Google\Chrome\Application\chrome.exe | cpu=12.5% is z=5.4 above its own baseline (avg 0.4%)
[2026-09-01 17:33:36.243887] MEMORY_SPIKE | proc=chrome.exe pid=4652 exe=C:\Program Files\Google\Chrome\Application\chrome.exe | mem=828MB is z=3.6 above its own baseline (avg 131MB)
[2026-09-01 17:33:36.243887] MEMORY_SPIKE | proc=svchost.exe pid=5408 exe=C:\Windows\System32\svchost.exe | mem=37MB is z=3.3 above its own baseline (avg 12MB)
[2026-09-01 17:33:36.243887] MEMORY_SPIKE | proc=svchost.exe pid=5416 exe=C:\Windows\System32\svchost.exe | mem=39MB is z=3.5 above its own baseline (avg 12MB)
[2026-09-01 17:33:36.243887] MEMORY_SPIKE | proc=svchost.exe pid=7900 exe=C:\Windows\System32\svchost.exe | mem=36MB is z=3.1 above its own baseline (avg 12MB)
[2026-09-01 17:33:36.243887] MEMORY_SPIKE | proc=svchost.exe pid=8060 exe=C:\Windows\System32\svchost.exe | mem=35MB is z=3.0 above its own baseline (avg 12MB)
[2026-09-01 17:33:36.243887] MEMORY_SPIKE | proc=chrome.exe pid=16476 exe=C:\Program Files\Google\Chrome\Application\chrome.exe | mem=765MB is z=3.3 above its own baseline (avg 131MB)
[2026-09-01 17:33:36.243887] CPU_SPIKE | proc=chrome.exe pid=19024 exe=C:\Program Files\Google\Chrome\Application\chrome.exe | cpu=27.0% is z=11.9 above its own baseline (avg 0.4%)
